Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,10.014175881250676,10.142665582826272,9.949931030462878,10.10251235961914,110200,0.0,0,OFG,Finance,Major Banks
2011-04-19,10.158720650155422,10.158720650155422,10.030231021464354,10.086445808410645,107100,0.0,0,OFG,Finance,Major Banks
2011-04-20,10.182816332685912,10.335397624781056,10.102509905777618,10.327366828918457,144500,0.0,0,OFG,Finance,Major Banks
2011-04-21,10.399643128640026,10.399643128640026,10.182816987420304,10.271153450012207,64700,0.0,0,OFG,Finance,Major Banks
2011-04-25,10.222968583658208,10.279183387756348,10.190846166684484,10.279183387756348,49000,0.0,0,OFG,Finance,Major Banks
2011-04-26,10.287216280926861,10.367521956805293,10.134634194797563,10.311307907104492,86900,0.0,0,OFG,Finance,Major Banks
2011-04-27,10.303278429402326,10.439798938326087,10.198880348115974,10.39161491394043,69500,0.0,0,OFG,Finance,Major Banks
2011-04-28,10.35146215172035,10.496012688940995,10.279186500180495,10.479951858520508,89200,0.0,0,OFG,Finance,Major Banks
2011-04-29,10.367518720072857,10.496008374051153,10.359487925234525,10.407671928405762,154000,0.0,0,OFG,Finance,Major Banks
2011-05-02,10.399644985977464,10.399644985977464,10.062359136412008,10.10251235961914,200000,0.0,0,OFG,Finance,Major Banks
2011-05-03,10.094480997342723,10.134634218304567,9.909777253120826,10.022205352783203,274000,0.0,0,OFG,Finance,Major Banks
2011-05-04,10.062357323053957,10.062357323053957,9.941898440999736,9.949929237365723,150000,0.0,0,OFG,Finance,Major Banks
2011-05-05,9.901747520036087,10.038268026464733,9.789318642430416,9.853564262390137,192900,0.0,0,OFG,Finance,Major Banks
2011-05-06,9.925832781522873,10.01416997363802,9.692945143338665,9.789312362670898,209800,0.0,0,OFG,Finance,Major Banks
2011-05-09,9.733106107338886,9.877657434580788,9.676892042682232,9.821442604064941,83000,0.0,0,OFG,Finance,Major Banks
2011-05-10,9.861595474586055,10.086453256699071,9.861595474586055,10.054330825805664,103000,0.0,0,OFG,Finance,Major Banks
2011-05-11,10.062355862732726,10.078417453133726,9.869621373073425,9.877652168273926,417100,0.0,0,OFG,Finance,Major Banks
2011-05-12,9.837497306281477,9.877650509682928,9.757190899478575,9.773252487182617,790000,0.0,0,OFG,Finance,Major Banks
2011-05-13,9.781287205914495,9.829470456643524,9.460062215665468,9.476123809814453,198300,0.0,0,OFG,Finance,Major Banks
2011-05-16,9.42794009709036,9.452032489090339,9.211113930103467,9.227174758911133,247500,0.0,0,OFG,Finance,Major Banks
2011-05-17,9.195051764793426,9.33157224755158,9.187020967958489,9.29141902923584,163300,0.0,0,OFG,Finance,Major Banks
2011-05-18,9.315511799142733,9.42793989597505,9.243236156402546,9.355664253234863,128700,0.0,0,OFG,Finance,Major Banks
2011-05-19,9.403847981789735,9.43597040359314,9.195051857138122,9.2833890914917,138500,0.0,0,OFG,Finance,Major Banks
2011-05-20,9.235203933972626,9.323540391544917,9.235203933972626,9.251265525817871,313100,0.0,0,OFG,Finance,Major Banks
2011-05-23,9.162927262331905,9.275356094910622,9.04246840060088,9.243233680725098,156100,0.0,0,OFG,Finance,Major Banks
2011-05-24,9.275357147726886,9.315510361481147,9.243234729895248,9.251265525817871,226000,0.0,0,OFG,Finance,Major Banks
2011-05-25,9.227170052860433,9.460057695736385,9.211109232244125,9.371721267700195,291800,0.0,0,OFG,Finance,Major Banks
2011-05-26,9.347631438234993,9.6608247756958,9.315509025011867,9.6608247756958,298800,0.0,0,OFG,Finance,Major Banks
2011-05-27,9.65279722232681,9.781286908171603,9.644766425496776,9.741133689880371,120600,0.0,0,OFG,Finance,Major Banks
2011-05-31,9.821439453375156,9.94189910938669,9.74916457879897,9.90977668762207,266800,0.0,0,OFG,Finance,Major Banks
2011-06-01,9.885685360988145,9.909776986573654,9.644766807556152,9.644766807556152,235600,0.0,0,OFG,Finance,Major Banks
2011-06-02,9.66082754148753,9.741133980465596,9.588551899579064,9.636735916137695,141600,0.0,0,OFG,Finance,Major Banks
2011-06-03,9.548399445948993,9.692949963906964,9.50824622645996,9.636735916137695,126300,0.0,0,OFG,Finance,Major Banks
